time,left wrist x,left wrist y
1674809877056,309.60028,217.5073
1674809877104,306.8246,219.05951
1674809877140,304.20612,223.10356
1674809877178,305.6958,224.79149
1674809877208,303.28412,225.4253
1674809877248,303.0421,229.30786
1674809877287,302.1389,235.45418
1674809877326,303.71732,243.77402
1674809877371,305.03796,251.2232
1674809877421,308.0657,262.19247
1674809877451,310.17093,271.27753
1674809877493,310.60574,282.37708
1674809877529,311.46948,289.2378
1674809877565,313.3061,292.8448
1674809877608,311.94925,293.45163
1674809877645,309.9882,296.0752
1674809877691,307.14105,296.24026
1674809877733,304.3576,298.20642
1674809877780,300.9327,300.95963
1674809877829,297.63953,304.2178
1674809877866,294.36862,307.39307
1674809877901,292.2934,309.57544
1674809877949,289.32996,311.73126
1674809878008,286.0355,313.0683
1674809878050,284.70285,311.68677
1674809878082,284.723,308.08673
1674809878109,284.7455,304.50574
1674809878169,284.12592,301.2769
1674809878196,285.31958,299.8678
1674809878241,285.66074,298.54016
1674809878284,285.3258,298.18973
1674809878323,285.18082,299.09885
1674809878367,285.31024,298.628
1674809878402,283.96255,298.3896
1674809878441,283.62277,294.92572
1674809878476,283.24265,294.60223
1674809878529,283.04193,293.7862
1674809878562,280.5692,296.55618
1674809878614,283.07407,305.03482
1674809878660,283.64352,309.7879
1674809878715,285.5279,311.11652
1674809878763,284.9066,314.8204
1674809878803,286.05817,317.3081
1674809878829,287.5003,317.22656
1674809878875,289.16412,316.89426
1674809878909,292.57034,316.72482
1674809878965,296.4699,316.05603
1674809878992,301.80225,314.9263
1674809879032,308.3543,313.6167
1674809879078,314.49377,311.33032
1674809879115,320.4478,306.71957
1674809879163,327.47775,301.18707
1674809879207,338.31717,294.3883
1674809879232,346.42206,285.779
1674809879279,353.9536,276.63663
1674809879317,363.83807,267.6864
1674809879358,371.09985,255.40756
1674809879387,382.1664,242.93326
1674809879452,390.29498,233.09619
1674809879498,395.92557,220.25021
1674809879537,401.05658,206.50703
1674809879577,403.29553,195.34076
1674809879614,404.7118,179.92517
